STATE_UT,DISTRICT,YEAR,TOTAL_IPC,GIS_EXACT_MATCH
Rajasthan,Jaipur East,2014,8759,False
Rajasthan,Jaipur North,2014,4120,False
Rajasthan,Jaipur Rural,2014,6625,False
Rajasthan,Jaipur South,2014,5953,False
Rajasthan,Jaipur West,2014,7238,False
Rajasthan,Jaisalmer,2014,1478,True
Rajasthan,Jalore,2014,2971,True
Rajasthan,Jhalawar,2014,4666,True
Rajasthan,Jhunjhunu,2014,5277,True
Rajasthan,Jodhpur East,2014,2952,False
Rajasthan,Jodhpur Rural,2014,2693,False
Rajasthan,Jodhpur West,2014,3281,False
Rajasthan,Karauli,2014,4612,True
Rajasthan,Kota City,2014,5248,False
Rajasthan,Kota Rural,2014,2557,False
Rajasthan,Nagaur,2014,5743,True
Rajasthan,Pali,2014,6373,True
Rajasthan,Praapgarh,2014,3124,False
Rajasthan,Rajsamand,2014,2790,True
Rajasthan,Sawai Madhopur,2014,4212,True
Rajasthan,Sikar,2014,6994,True
Rajasthan,Sirohi,2014,2342,True
Rajasthan,Tonk,2014,4663,True
Rajasthan,Udaipur,2014,9868,True
Sikkim,CID,2014,7,False
Sikkim,East,2014,589,False
Sikkim,North,2014,52,False
Sikkim,South,2014,290,False
Sikkim,West,2014,127,False
Tamil Nadu,Ariyalur,2014,1615,True
Tamil Nadu,Chennai,2014,16861,True
Tamil Nadu,Coimbatore,2014,4996,True
Tamil Nadu,Coimbatore City,2014,4281,False
Tamil Nadu,Cuddalore,2014,9442,True
Tamil Nadu,Cyber Cell,2014,3,False
Tamil Nadu,Dharmapuri,2014,4354,True
Tamil Nadu,Dindigul,2014,6250,True
Tamil Nadu,Erode,2014,4370,True
Tamil Nadu,Kanchipuram,2014,8066,True
Tamil Nadu,Kanyakumari,2014,4041,False
Tamil Nadu,Karur,2014,2241,True
Tamil Nadu,Krishnagiri,2014,5095,True
Tamil Nadu,Madurai,2014,8212,True
Tamil Nadu,Madurai City,2014,3226,False
Tamil Nadu,Nagapattinam,2014,4386,True
Tamil Nadu,Namakkal,2014,4003,True
Tamil Nadu,Nilgiris,2014,1199,False
Tamil Nadu,Other Units,2014,0,False
Tamil Nadu,Perambalur,2014,1770,True
Tamil Nadu,Pudukottai,2014,3720,False
Tamil Nadu,Railway Chennai,2014,637,False
Tamil Nadu,Railway Trichy,2014,229,False
Tamil Nadu,Ramnathapuram,2014,3819,False
