CRIME_STATE,CRIME_DISTRICT,TOTAL_IPC,CANDIDATE_RANK,GIS_STATE,GIS_DISTRICT,SIMILARITY_SCORE
Kerala,Trivandrum Rural,12024,2,Kerala,Thrissur,41.67
Kerala,Trivandrum Rural,12024,3,Kerala,Kannur,36.36
Kerala,Wayanadu,3182,1,Kerala,Wayanad,93.33
Kerala,Wayanadu,3182,2,Kerala,Palakkad,50.0
Kerala,Wayanadu,3182,3,Kerala,Kasaragod,47.06
Lakshadweep,Lakshadweep,81,1,Lakshadweep,Lakshadweep District,70.97
Madhya Pradesh,Agar,1652,1,Madhya Pradesh,Sagar,88.89
Madhya Pradesh,Agar,1652,2,Madhya Pradesh,Rajgarh,72.73
Madhya Pradesh,Agar,1652,3,Madhya Pradesh,Tikamgarh,61.54
Madhya Pradesh,Ashok Nagar,3366,1,Madhya Pradesh,Ashoknagar,95.24
Madhya Pradesh,Ashok Nagar,3366,2,Madhya Pradesh,Sagar,62.5
Madhya Pradesh,Ashok Nagar,3366,3,Madhya Pradesh,East Nimar,57.14
Madhya Pradesh,Bhopal Railway,2067,1,Madhya Pradesh,Bhopal,60.0
Madhya Pradesh,Bhopal Railway,2067,2,Madhya Pradesh,Agar Malwa,50.0
Madhya Pradesh,Bhopal Railway,2067,3,Madhya Pradesh,Barwani,47.62
Madhya Pradesh,Cyber Cell,0,1,Madhya Pradesh,Betul,40.0
Madhya Pradesh,Cyber Cell,0,2,Madhya Pradesh,Sehore,37.5
